"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Shai Gilgeous-Alexander","Okc","G","26.6","48","34.1","35","11","409","0.9","766","0.601","273","0.352","0.581","0.646","32.8","5.3","6","2","1","2.7","38.1","38.8","44.1","11.9","127.7","103.1"
"","Giannis Antetokounmpo","Mil","F","30.2","41","34.9","36.3","14.1","440","0.577","825","0.624","32","0.188","0.611","0.62","31.8","12.2","5.9","0.8","1.3","3.4","43.9","37.6","49.8","15.1","118.7","105"
"","Nikola Jokic","Den","C","30","45","36.3","29.8","13.5","279","0.817","688","0.602","203","0.463","0.623","0.66","29.7","12.8","10.3","1.8","0.7","3.1","42.5","40","52.8","17.4","133.5","107.8"
"","LaMelo Ball","Cha","G","23.5","31","33.3","37.4","13.8","172","0.82","341","0.51","380","0.337","0.508","0.548","28.2","5.3","7.3","1.4","0.3","3.7","33.4","35.5","40.7","12.4","110.5","106.5"
"","Luka Doncic","Dal","F-G","25.9","22","35.7","32.8","13.9","146","0.767","254","0.555","212","0.354","0.544","0.584","28.1","8.3","7.8","2","0.4","3.4","36.5","36","44.3","13.7","116.2","106.5"
"","Tyrese Maxey","Phi","G","24.3","43","38","31.2","10.1","255","0.875","522","0.523","415","0.345","0.52","0.571","27.9","3.4","6.2","1.9","0.4","2.4","31.3","34","37.5","8.8","115.5","113.4"
"","Anthony Edwards","Min","G","23.5","50","36.7","31.2","14.4","274","0.839","528","0.47","492","0.421","0.548","0.59","26.9","5.8","4.5","1.2","0.7","3.4","32.7","31.4","37.2","9.7","111.9","109"
"","Kevin Durant","Pho","F","36.4","39","36.2","29.8","14","237","0.827","496","0.583","231","0.398","0.587","0.632","26.9","6.1","4.2","0.8","1.3","3","33","31.1","37.2","9.8","115.4","115.5"
"","Jayson Tatum","Bos","F-G","26.9","48","36.5","30.5","12.5","311","0.801","473","0.552","483","0.354","0.541","0.587","26.8","8.8","5.7","1.3","0.5","2.8","35.5","32.4","41.2","12.1","116.5","104.8"
"","Jalen Brunson","Nyk","G","28.4","50","35.3","29.4","11.6","352","0.813","630","0.532","292","0.397","0.552","0.605","26.1","2.9","7.5","1","0.1","2.4","29","33.6","36.5","9.4","124.6","113.3"
"","Devin Booker","Pho","G","28.3","45","36.9","29.4","12.5","326","0.893","494","0.526","348","0.342","0.521","0.593","26","4","6.6","1.1","0.3","2.7","29.9","32.6","36.5","9.6","119.3","115.7"
"","Anthony Davis","Lal","F-C","31.9","42","34.3","30.4","10.9","321","0.788","663","0.561","94","0.298","0.547","0.602","25.7","11.9","3.4","1.3","2.1","2.2","37.6","29.1","41","11.8","120.2","107.2"
"","Cade Cunningham","Det","G","23.4","47","35.7","33","17.3","232","0.845","692","0.496","302","0.354","0.507","0.549","25.6","6.3","9.4","1","0.7","4.4","31.9","35","41.3","12.9","109.8","109.7"
"","Franz Wagner","Orl","F","23.4","32","32.9","32","10.6","189","0.873","411","0.533","207","0.324","0.517","0.573","25.1","5.4","5.1","1.4","0.4","2.3","30.5","30.3","35.7","10.8","115.7","105.1"
"","Damian Lillard","Mil","G","34.6","41","36.3","27.8","13.9","279","0.921","345","0.519","364","0.379","0.544","0.619","25.1","4.5","7.4","1.2","0.2","2.8","29.6","32.5","37.1","10.4","122.4","111.9"
"","De'Aaron Fox","Sac","G","27.1","45","37","28.8","13.1","246","0.829","597","0.539","286","0.322","0.521","0.567","25","5","6.1","1.5","0.4","3","30","31.1","36.1","9.9","112.8","111.7"
"","Joel Embiid","Phi","C-F","30.9","14","29.9","36","16","121","0.884","189","0.497","53","0.321","0.494","0.586","24.7","8.1","4.3","0.9","0.9","3.3","32.9","29","37.1","12.7","113.7","109.3"
"","Cam Thomas","Bro","G","23.3","19","32.3","31.9","13.1","129","0.876","193","0.503","144","0.375","0.528","0.596","24.7","3.6","3.4","0.7","0.1","2.7","28.3","28.1","31.7","8.3","112.3","115.3"
"","Victor Wembanyama","San","F-C","21.1","42","33.1","30.9","15.2","174","0.839","415","0.586","374","0.358","0.563","0.597","24.6","10.9","3.6","1.1","3.9","3.4","35.5","28.3","39.2","11.9","109.3","106.4"
"","Kyrie Irving","Dal","G","32.9","40","36.1","26.8","11.1","163","0.902","460","0.524","285","0.411","0.559","0.6","24.5","4.8","4.8","1.2","0.4","2.3","29.3","29.3","34.1","9.2","119.2","113.2"
